config_sl_tp,tamano_posicion_cop,cupos_maximos_teoricos,trades,win_rate_%,senales_perdidas_por_capital,senales_perdidas_por_posicion_abierta,capital_final_cop,ganancia_neta_cop,ganancia_neta_%
actual (5% SL / 3% TP),500000,20,40,65.0,0,12,10016975,16975,0.17
actual (5% SL / 3% TP),1000000,10,40,65.0,0,12,10033950,33950,0.34
actual (5% SL / 3% TP),1500000,6,40,65.0,0,12,10050925,50925,0.51
actual (5% SL / 3% TP),2000000,5,40,65.0,0,12,10067900,67900,0.68
actual (5% SL / 3% TP),2500000,4,40,65.0,0,12,10084875,84875,0.85
actual (5% SL / 3% TP),3000000,3,40,65.0,0,12,10101850,101850,1.02
actual (5% SL / 3% TP),5000000,2,35,65.7,6,11,10244725,244725,2.45
actual (5% SL / 3% TP),10000000,1,2,50.0,50,0,9780100,-219900,-2.2
1:1 (3% SL / 3% TP),500000,20,43,39.5,0,9,9840582,-159418,-1.59
1:1 (3% SL / 3% TP),1000000,10,43,39.5,0,9,9681165,-318835,-3.19
1:1 (3% SL / 3% TP),1500000,6,43,39.5,0,9,9521748,-478252,-4.78
1:1 (3% SL / 3% TP),2000000,5,43,39.5,0,9,9362330,-637670,-6.38
1:1 (3% SL / 3% TP),2500000,4,43,39.5,0,9,9202912,-797088,-7.97
1:1 (3% SL / 3% TP),3000000,3,43,39.5,0,9,9043495,-956505,-9.57
1:1 (3% SL / 3% TP),5000000,2,32,37.5,13,7,8610750,-1389250,-13.89
1:1 (3% SL / 3% TP),10000000,1,2,50.0,50,0,9980000,-20000,-0.2
