condición,frecuencia_%,n
DI- > DI+ (presión vendedora),89.6,163
MACD hist. negativo,86.5,163
Precio < EMA50,85.3,163
OBV bajando (últimas 20 velas),82.8,163
CCI < -100 (sobreventa),75.5,163
Williams %R < -80 (sobreventa),74.2,163
CMF < 0 (flujo vendedor),70.6,163
Precio < SMA200 (tendencia bajista),69.6,161
ADX > 25 (tendencia fuerte),65.0,163
Volatilidad 20 velas elevada (top 25% histórico),61.3,163
Volumen > 1.5x su promedio 20 velas,49.1,163
Estocástico<20,49.1,163
Bollinger %B < 0 (fuera banda inferior),49.1,163
Volumen > 2x su promedio 20 velas,35.6,163
RSI<30 (sobreventa),32.5,163
Precio > SMA200 (tendencia alcista),30.4,161
CMF > 0 (flujo comprador),28.8,163
MACD cruzando señal (últimas 3 velas),23.3,163
"MFI < 20 (dinero saliendo, sobreventa)",22.1,163
OBV subiendo (últimas 20 velas),16.6,163
Precio > EMA50,14.1,163
Cruce EMA12/26 muerte (últimas 6 velas),12.9,163
MACD hist. positivo,12.9,163
DI+ > DI- (presión compradora),9.8,163
CCI > 100 (sobrecompra),3.1,163
Estocástico>80,1.8,163
Cruce EMA12/26 dorado (últimas 6 velas),1.2,163
"MFI > 80 (dinero entrando, sobrecompra)",0.6,163
RSI>70 (sobrecompra),0.0,163
Bollinger %B > 1 (fuera banda superior),0.0,163
Williams %R > -20 (sobrecompra),0.0,163
