symbol,direccion,resultado,entrada_ts,salida_ts,horas_hasta_salida,pnl_neto_cop
DOGE/USDT,CORTO,TP,2024-10-06 14:00:00+00:00,2024-10-06 19:00:00+00:00,5.0,6996
LINK/USDT,CORTO,TP,2024-10-11 18:00:00+00:00,2024-10-13 14:00:00+00:00,44.0,6996
LTC/USDT,LARGO,SL,2024-10-21 14:00:00+00:00,2024-10-23 02:00:00+00:00,36.0,-18482
DOT/USDT,CORTO,TP,2024-10-28 10:00:00+00:00,2024-10-28 13:00:00+00:00,3.0,6996
LTC/USDT,CORTO,TP,2024-10-27 14:00:00+00:00,2024-10-28 17:00:00+00:00,27.0,6996
LINK/USDT,LARGO,TP,2024-10-31 18:00:00+00:00,2024-11-01 14:00:00+00:00,20.0,6492
LINK/USDT,CORTO,TP,2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,1.0,6996
AVAX/USDT,CORTO,TP,2024-11-05 14:00:00+00:00,2024-11-05 19:00:00+00:00,5.0,6996
LINK/USDT,LARGO,TP,2024-11-13 06:00:00+00:00,2024-11-13 07:00:00+00:00,1.0,6492
AVAX/USDT,CORTO,SL,2024-12-12 02:00:00+00:00,2024-12-12 13:00:00+00:00,11.0,-17991
AVAX/USDT,CORTO,TP,2024-12-24 18:00:00+00:00,2024-12-24 19:00:00+00:00,1.0,6996
LINK/USDT,CORTO,SL,2025-01-01 18:00:00+00:00,2025-01-02 00:00:00+00:00,6.0,-17991
DOT/USDT,CORTO,SL,2025-01-01 18:00:00+00:00,2025-01-02 00:00:00+00:00,6.0,-17991
LINK/USDT,CORTO,SL,2025-01-02 02:00:00+00:00,2025-01-02 10:00:00+00:00,8.0,-17991
XRP/USDT,LARGO,TP,2025-01-05 10:00:00+00:00,2025-01-05 13:00:00+00:00,3.0,6492
AVAX/USDT,LARGO,SL,2025-01-07 18:00:00+00:00,2025-01-08 03:00:00+00:00,9.0,-18482
ADA/USDT,CORTO,TP,2025-01-11 22:00:00+00:00,2025-01-12 00:00:00+00:00,2.0,6996
XRP/USDT,CORTO,TP,2025-02-07 14:00:00+00:00,2025-02-07 15:00:00+00:00,1.0,6996
DOT/USDT,CORTO,TP,2025-02-07 14:00:00+00:00,2025-02-07 15:00:00+00:00,1.0,6996
ADA/USDT,CORTO,TP,2025-03-01 22:00:00+00:00,2025-03-01 23:00:00+00:00,1.0,6996
XRP/USDT,CORTO,TP,2025-03-02 02:00:00+00:00,2025-03-02 14:00:00+00:00,12.0,6996
DOT/USDT,CORTO,TP,2025-03-14 10:00:00+00:00,2025-03-14 14:00:00+00:00,4.0,6996
LINK/USDT,CORTO,TP,2025-03-14 14:00:00+00:00,2025-03-14 19:00:00+00:00,5.0,6996
LTC/USDT,CORTO,TP,2025-04-09 18:00:00+00:00,2025-04-10 00:00:00+00:00,6.0,6996
DOT/USDT,CORTO,TP,2025-06-02 22:00:00+00:00,2025-06-04 12:00:00+00:00,38.0,6996
XRP/USDT,CORTO,SL,2025-06-16 10:00:00+00:00,2025-06-16 14:00:00+00:00,4.0,-17991
DOT/USDT,CORTO,TP,2025-06-16 14:00:00+00:00,2025-06-16 22:00:00+00:00,8.0,6996
LINK/USDT,CORTO,TP,2025-06-16 14:00:00+00:00,2025-06-16 23:00:00+00:00,9.0,6996
DOGE/USDT,CORTO,TP,2025-06-23 22:00:00+00:00,2025-06-24 02:00:00+00:00,4.0,6996
DOT/USDT,CORTO,TP,2025-06-24 06:00:00+00:00,2025-06-24 07:00:00+00:00,1.0,6996
ADA/USDT,CORTO,TP,2025-06-23 22:00:00+00:00,2025-06-25 09:00:00+00:00,35.0,6996
XRP/USDT,CORTO,TP,2025-08-04 02:00:00+00:00,2025-08-04 05:00:00+00:00,3.0,6996
