condición,veces_activada,precisión_%
Bollinger %B < 0,14,71.4
Precio > SMA200 (alcista),169,65.1
RSI < 30,31,64.5
ADX > 25 (tendencia fuerte previa),391,64.2
DI- > DI+ (venta dominante previa),553,64.0
OBV bajando (últimas 20 velas),514,64.0
Precio < SMA200 (bajista),719,63.6
CMF < 0 (flujo vendedor previo),463,63.5
Volumen > 2x promedio,49,63.3
Mecha inferior > 2x el cuerpo (tipo martillo),174,63.2
Cuerpo grande (>=3% del precio),301,61.5
RSI < 45,373,61.1
Volumen > 1.5x promedio (flip con fuerza),111,59.5
MFI < 20,31,58.1
Williams %R < -80,116,56.9
CCI < -100,199,52.8
Estocástico < 20,188,52.7
