symbol,direccion,resultado,entrada_ts,salida_ts,horas_hasta_salida,pnl_neto_cop
DOGE/USDT,LARGO,TP,2024-09-21 10:00:00+00:00,2024-09-21 14:00:00+00:00,4.0,13985
XRP/USDT,LARGO,TP,2024-09-21 14:00:00+00:00,2024-09-21 16:00:00+00:00,2.0,13985
ETH/USDT,LARGO,TP,2024-09-22 22:00:00+00:00,2024-09-23 03:00:00+00:00,5.0,13985
SOL/USDT,LARGO,TP,2024-09-23 06:00:00+00:00,2024-09-24 22:00:00+00:00,40.0,13985
DOGE/USDT,LARGO,TP,2024-09-23 06:00:00+00:00,2024-09-26 06:00:00+00:00,72.0,13985
SOL/USDT,LARGO,TP,2024-09-26 06:00:00+00:00,2024-09-26 14:00:00+00:00,8.0,13985
DOGE/USDT,LARGO,TP,2024-09-26 06:00:00+00:00,2024-09-26 15:00:00+00:00,9.0,13985
XRP/USDT,LARGO,TP,2024-09-24 22:00:00+00:00,2024-09-28 07:00:00+00:00,81.0,13985
ETH/USDT,LARGO,SL,2024-09-24 22:00:00+00:00,2024-10-01 15:00:00+00:00,161.0,-25975
SOL/USDT,LARGO,SL,2024-09-29 02:00:00+00:00,2024-10-01 15:00:00+00:00,61.0,-25975
SOL/USDT,CORTO,SL,2024-10-05 22:00:00+00:00,2024-10-07 01:00:00+00:00,27.0,-25488
DOGE/USDT,CORTO,TP,2024-10-06 14:00:00+00:00,2024-10-07 23:00:00+00:00,33.0,14492
SOL/USDT,CORTO,TP,2024-10-07 22:00:00+00:00,2024-10-09 18:00:00+00:00,44.0,14492
DOGE/USDT,LARGO,SL,2024-10-09 10:00:00+00:00,2024-10-10 17:00:00+00:00,31.0,-25975
ETH/USDT,CORTO,TP,2024-10-05 22:00:00+00:00,2024-10-10 18:00:00+00:00,116.0,14492
SOL/USDT,LARGO,TP,2024-10-13 22:00:00+00:00,2024-10-14 03:00:00+00:00,5.0,13985
ETH/USDT,LARGO,TP,2024-10-14 06:00:00+00:00,2024-10-14 14:00:00+00:00,8.0,13985
DOGE/USDT,LARGO,TP,2024-10-14 06:00:00+00:00,2024-10-14 14:00:00+00:00,8.0,13985
DOGE/USDT,LARGO,TP,2024-10-15 18:00:00+00:00,2024-10-16 05:00:00+00:00,11.0,13985
