symbol,velas_disponibles,activaciones_largo,precisión_largo_%,activaciones_corto,precisión_corto_%
BTC/USDT,730,3,0.0,25,36.0
ETH/USDT,730,4,50.0,20,70.0
BNB/USDT,730,5,20.0,11,36.4
XRP/USDT,730,2,50.0,7,85.7
SOL/USDT,730,2,0.0,12,83.3
ADA/USDT,730,3,100.0,6,100.0
DOGE/USDT,730,4,50.0,4,75.0
TRX/USDT,730,1,0.0,23,30.4
LINK/USDT,730,3,66.7,9,77.8
AVAX/USDT,730,6,50.0,8,87.5
DOT/USDT,730,7,57.1,5,60.0
LTC/USDT,730,6,50.0,9,100.0
BCH/USDT,730,10,30.0,11,100.0
ATOM/USDT,730,4,50.0,12,66.7
UNI/USDT,730,7,71.4,5,80.0
NEAR/USDT,730,2,50.0,5,80.0
APT/USDT,730,11,54.5,4,100.0
ARB/USDT,730,10,60.0,5,100.0
OP/USDT,730,10,50.0,2,100.0
ETC/USDT,730,6,33.3,5,100.0
