symbol,quiebres_largo,quiebres_corto,activaciones_triple_largo,precisión_largo_%,lift_largo,activaciones_rsi_corto,precisión_corto_%,lift_corto
BTC/USDT,36,31,52,34.6,3.35,265,16.6,1.72
ETH/USDT,74,78,48,64.6,2.92,315,35.2,1.52
BNB/USDT,45,47,29,75.9,5.42,215,27.0,1.89
XRP/USDT,107,106,49,71.4,2.41,231,60.2,2.02
SOL/USDT,113,102,39,69.2,2.15,244,35.2,1.21
ADA/USDT,127,135,40,67.5,1.86,209,58.4,1.53
DOGE/USDT,120,124,44,59.1,1.75,238,61.3,1.79
TRX/USDT,27,29,28,35.7,4.66,267,20.2,2.3
LINK/USDT,132,144,31,67.7,1.89,244,55.3,1.41
AVAX/USDT,121,125,30,73.3,2.25,192,51.0,1.44
DOT/USDT,120,132,39,71.8,2.08,199,59.3,1.61
LTC/USDT,102,111,26,65.4,2.32,171,59.6,1.87
BCH/USDT,102,111,44,40.9,1.39,159,52.2,1.61
ATOM/USDT,112,114,40,65.0,2.05,205,46.3,1.43
UNI/USDT,153,164,40,47.5,1.16,204,72.1,1.66
