ts,precio,direccion,ganancia_%_lograda
2024-09-13 02:00:00+00:00,0.5579,LARGO,6.9
2024-09-14 21:00:00+00:00,0.5965,CORTO,6.0
2024-09-16 02:00:00+00:00,0.5608,LARGO,5.3
2024-09-26 00:00:00+00:00,0.5774,LARGO,8.1
2024-09-29 15:00:00+00:00,0.6595,CORTO,12.0
2024-11-03 18:00:00+00:00,0.4948,LARGO,8.4
2024-11-10 13:00:00+00:00,0.6107,CORTO,5.9
2024-11-11 05:00:00+00:00,0.5744,LARGO,27.8
2024-11-12 08:00:00+00:00,0.6856,CORTO,7.8
2024-11-12 10:00:00+00:00,0.6321,LARGO,30.9
2024-11-12 21:00:00+00:00,0.7232,CORTO,10.6
2024-11-13 05:00:00+00:00,0.6468,LARGO,51.9
2024-11-13 16:00:00+00:00,0.734,CORTO,7.2
2024-11-13 19:00:00+00:00,0.6812,LARGO,75.3
2024-11-14 21:00:00+00:00,0.8253,CORTO,6.3
2024-11-14 23:00:00+00:00,0.7736,LARGO,54.4
2024-11-15 02:00:00+00:00,0.8277,CORTO,5.1
2024-11-15 07:00:00+00:00,0.7858,LARGO,52.0
2024-11-15 15:00:00+00:00,0.8659,LARGO,37.9
2024-11-16 14:00:00+00:00,1.1942,CORTO,15.9
2024-11-16 15:00:00+00:00,1.1096,LARGO,6.9
2024-11-16 19:00:00+00:00,1.1862,CORTO,15.3
2024-11-17 05:00:00+00:00,1.0043,LARGO,16.5
2024-11-17 11:00:00+00:00,1.0366,LARGO,12.9
2024-11-17 13:00:00+00:00,1.126,CORTO,8.1
2024-11-17 19:00:00+00:00,1.0352,LARGO,13.0
2024-11-18 07:00:00+00:00,1.1701,CORTO,8.0
2024-11-18 15:00:00+00:00,1.1665,CORTO,7.7
2024-11-18 19:00:00+00:00,1.0895,LARGO,10.8
2024-11-19 00:00:00+00:00,1.1414,CORTO,5.7
2024-11-19 13:00:00+00:00,1.0765,LARGO,37.3
2024-11-20 17:00:00+00:00,1.0803,LARGO,47.2
2024-11-23 01:00:00+00:00,1.5903,CORTO,17.8
2024-11-24 15:00:00+00:00,1.3077,LARGO,16.1
2024-11-24 22:00:00+00:00,1.443,CORTO,8.0
2024-11-25 01:00:00+00:00,1.3789,LARGO,10.1
2024-11-25 08:00:00+00:00,1.5183,CORTO,12.6
2024-11-25 14:00:00+00:00,1.3869,LARGO,7.9
2024-11-25 19:00:00+00:00,1.475,CORTO,10.0
2024-11-26 12:00:00+00:00,1.3271,LARGO,25.3
2024-11-28 15:00:00+00:00,1.4343,LARGO,36.0
2024-11-30 13:00:00+00:00,1.8311,LARGO,55.6
2024-12-01 05:00:00+00:00,1.8584,LARGO,53.4
2024-12-02 05:00:00+00:00,2.4602,CORTO,9.2
2024-12-02 10:00:00+00:00,2.2492,LARGO,26.7
2024-12-02 16:00:00+00:00,2.7389,CORTO,18.4
2024-12-02 17:00:00+00:00,2.6249,LARGO,8.6
2024-12-03 03:00:00+00:00,2.7724,CORTO,19.4
2024-12-03 10:00:00+00:00,2.5782,LARGO,10.5
2024-12-03 11:00:00+00:00,2.8499,CORTO,21.6
2024-12-03 13:00:00+00:00,2.4352,LARGO,9.0
2024-12-03 21:00:00+00:00,2.6243,CORTO,14.9
2024-12-03 23:00:00+00:00,2.5102,LARGO,5.7
2024-12-04 10:00:00+00:00,2.6544,CORTO,15.8
2024-12-05 01:00:00+00:00,2.2345,LARGO,16.8
2024-12-05 03:00:00+00:00,2.2552,LARGO,15.7
2024-12-05 08:00:00+00:00,2.4377,CORTO,7.9
2024-12-05 23:00:00+00:00,2.2446,LARGO,16.3
2024-12-06 12:00:00+00:00,2.2646,LARGO,15.2
2024-12-07 23:00:00+00:00,2.6099,CORTO,26.0
2024-12-10 02:00:00+00:00,2.1325,LARGO,15.3
2024-12-10 10:00:00+00:00,2.2411,CORTO,13.8
2024-12-10 17:00:00+00:00,1.9322,LARGO,27.3
2024-12-10 23:00:00+00:00,2.3709,CORTO,5.7
2024-12-11 01:00:00+00:00,2.2369,LARGO,9.9
2024-12-12 04:00:00+00:00,2.4594,CORTO,6.3
2024-12-13 06:00:00+00:00,2.3049,LARGO,9.1
2024-12-14 05:00:00+00:00,2.5151,CORTO,6.5
2024-12-16 11:00:00+00:00,2.3504,LARGO,15.5
2024-12-17 12:00:00+00:00,2.7139,CORTO,27.5
2024-12-19 01:00:00+00:00,2.2767,LARGO,6.0
2024-12-19 10:00:00+00:00,2.4142,CORTO,18.5
2024-12-19 20:00:00+00:00,2.229,LARGO,5.8
2024-12-20 02:00:00+00:00,2.335,CORTO,15.7
2024-12-20 11:00:00+00:00,1.9678,LARGO,19.9
2024-12-21 06:00:00+00:00,2.3589,CORTO,9.1
2024-12-23 15:00:00+00:00,2.1432,LARGO,9.3
2024-12-24 17:00:00+00:00,2.3432,CORTO,8.6
2024-12-30 14:00:00+00:00,2.0087,LARGO,20.7
2024-12-31 04:00:00+00:00,2.0179,LARGO,22.3
2025-01-04 02:00:00+00:00,2.4838,CORTO,5.7
2025-01-07 10:00:00+00:00,2.4565,CORTO,9.0
2025-01-08 06:00:00+00:00,2.2614,LARGO,5.6
2025-01-08 22:00:00+00:00,2.3886,CORTO,6.4
2025-01-09 13:00:00+00:00,2.2361,LARGO,15.9
2025-01-11 20:00:00+00:00,2.5927,CORTO,9.8
2025-01-13 11:00:00+00:00,2.3389,LARGO,36.7
2025-01-16 00:00:00+00:00,3.0016,LARGO,12.6
2025-01-16 16:00:00+00:00,3.3805,CORTO,9.7
2025-01-18 05:00:00+00:00,3.0942,LARGO,8.4
2025-01-19 01:00:00+00:00,3.2799,CORTO,10.7
2025-01-19 11:00:00+00:00,3.054,LARGO,9.8
2025-01-19 19:00:00+00:00,3.2242,CORTO,9.1
2025-01-20 00:00:00+00:00,2.9299,LARGO,14.5
2025-01-20 14:00:00+00:00,3.3538,CORTO,9.4
2025-01-21 05:00:00+00:00,3.0382,LARGO,6.5
2025-01-22 11:00:00+00:00,3.2348,CORTO,5.6
2025-01-24 11:00:00+00:00,3.1975,CORTO,13.6
2025-01-27 10:00:00+00:00,2.762,LARGO,15.3
2025-01-28 15:00:00+00:00,3.1857,CORTO,5.3
2025-02-02 18:00:00+00:00,2.5384,LARGO,8.5
2025-02-02 19:00:00+00:00,2.6687,CORTO,21.4
2025-02-03 01:00:00+00:00,2.0976,LARGO,31.3
2025-02-03 03:00:00+00:00,2.2589,CORTO,5.3
2025-02-03 04:00:00+00:00,2.1389,LARGO,28.8
2025-02-04 01:00:00+00:00,2.7543,CORTO,16.7
2025-02-04 07:00:00+00:00,2.486,LARGO,7.0
2025-02-04 14:00:00+00:00,2.6591,CORTO,13.9
2025-02-05 11:00:00+00:00,2.5496,CORTO,10.2
2025-02-05 18:00:00+00:00,2.3671,LARGO,7.0
2025-02-06 06:00:00+00:00,2.4646,CORTO,7.1
2025-02-07 07:00:00+00:00,2.2889,LARGO,10.6
2025-02-07 14:00:00+00:00,2.5325,CORTO,7.8
2025-02-07 20:00:00+00:00,2.3579,LARGO,6.2
2025-02-09 03:00:00+00:00,2.5038,CORTO,6.7
2025-02-09 21:00:00+00:00,2.3356,LARGO,8.0
2025-02-11 06:00:00+00:00,2.5224,CORTO,5.3
2025-02-11 19:00:00+00:00,2.3875,LARGO,16.8
2025-02-15 02:00:00+00:00,2.8237,CORTO,7.3
2025-02-18 16:00:00+00:00,2.4909,LARGO,9.9
