sl_%,tp_%,ratio_riesgo_beneficio,win_rate_equilibrio_%,trades,win_rate_%,margen_sobre_equilibrio_pp,ganancia_neta_cop,ganancia_neta_%
1.0,1.0,1.0,50.0,86,60.5,10.5,41442,0.41
1.0,1.5,0.67,40.0,84,47.6,7.6,32450,0.32
1.0,2.0,0.5,33.3,83,39.8,6.4,32950,0.33
1.0,2.5,0.4,28.6,83,32.5,4.0,10455,0.1
1.0,3.0,0.33,25.0,83,25.3,0.3,-42025,-0.42
1.0,3.5,0.29,22.2,83,19.3,-2.9,-101990,-1.02
1.0,4.0,0.25,20.0,83,18.1,-1.9,-87002,-0.87
1.0,4.5,0.22,18.2,83,15.7,-2.5,-104485,-1.04
1.0,5.0,0.2,16.7,83,13.3,-3.4,-131975,-1.32
1.5,1.0,1.5,60.0,83,69.9,9.9,55440,0.55
1.5,1.5,1.0,50.0,80,60.0,10.0,74436,0.74
1.5,2.0,0.75,42.9,79,46.8,4.0,9970,0.1
1.5,2.5,0.6,37.5,79,40.5,3.0,2468,0.02
1.5,3.0,0.5,33.3,79,32.9,-0.4,-52511,-0.53
1.5,3.5,0.43,30.0,79,27.8,-2.2,-87488,-0.87
1.5,4.0,0.38,27.3,79,25.3,-2.0,-87492,-0.87
1.5,4.5,0.33,25.0,79,21.5,-3.5,-127462,-1.27
1.5,5.0,0.3,23.1,79,19.0,-4.1,-149955,-1.5
2.0,1.0,2.0,66.7,83,73.5,6.8,37952,0.38
2.0,1.5,1.33,57.1,80,68.8,11.6,116921,1.17
2.0,2.0,1.0,50.0,79,53.2,3.2,4980,0.05
2.0,2.5,0.8,44.4,79,46.8,2.4,-2522,-0.03
2.0,3.0,0.67,40.0,79,39.2,-0.8,-60000,-0.6
2.0,3.5,0.57,36.4,79,32.9,-3.5,-119962,-1.2
2.0,4.0,0.5,33.3,79,30.4,-3.0,-114970,-1.15
2.0,4.5,0.44,30.8,79,26.6,-4.2,-152440,-1.52
2.0,5.0,0.4,28.6,79,24.1,-4.5,-169935,-1.7
2.5,1.0,2.5,71.4,83,74.7,3.3,475,0.0
2.5,1.5,1.67,62.5,80,71.2,8.8,94419,0.94
2.5,2.0,1.25,55.6,79,57.0,1.4,-20022,-0.2
